Date,RAT,MAT,SFS,OAT
2019-05-01 00:00:00,72.31,68.1,Off,34.35
2019-05-01 00:18:00,72.13,67.53,,34.48
2019-05-01 00:36:00,71.98,67.11,,34.62
2019-05-01 00:54:00,71.86,67.96,On,34.54
2019-05-01 01:12:00,73.3,70.26,Off,34.2
2019-05-01 01:30:00,72.87,86.42,,33.91
2019-05-01 01:48:00,72.67,82.33,,33.84
2019-05-01 02:06:00,72.32,78.65,,33.7
2019-05-01 02:24:00,72.14,75.66,,33.58
2019-05-01 02:42:00,71.96,73.38,,33.7
2019-05-01 03:00:00,71.83,71.17,On,33.56
2019-05-01 03:18:00,73.67,70.61,Off,33.24
2019-05-01 03:36:00,73.44,88.28,,33.1
2019-05-01 03:54:00,72.88,89.74,On,33.18
2019-05-01 04:12:00,73.96,70.96,,33.28
2019-05-01 04:30:00,75.71,71.67,,33.25
2019-05-01 04:48:00,76.64,66.26,,33.1
2019-05-01 05:06:00,75.66,62.12,,33.06
2019-05-01 05:24:00,75.37,65.06,,32.97
2019-05-01 05:42:00,74.71,65.24,,32.91
2019-05-01 06:00:00,74.83,55.74,,32.94
2019-05-01 06:18:00,74.13,66.32,,32.98
2019-05-01 06:36:00,75.51,68.98,,33.04
2019-05-01 06:54:00,76.0,51.36,,33.31
2019-05-01 07:12:00,74.61,65.61,,33.5
2019-05-01 07:30:00,74.86,64.39,,33.68
2019-05-01 07:48:00,74.22,65.42,,33.85
2019-05-01 08:06:00,74.61,59.79,,33.88
2019-05-01 08:24:00,74.32,64.49,,34.02
2019-05-01 08:42:00,73.91,64.71,,34.22
2019-05-01 09:00:00,73.94,63.55,,34.14
2019-05-01 09:18:00,74.03,67.74,,34.15
2019-05-01 09:36:00,74.43,61.29,,34.38
2019-05-01 09:54:00,74.13,55.24,,34.68
2019-05-01 10:12:00,73.44,65.31,,34.91
2019-05-01 10:30:00,74.16,60.65,,35.19
2019-05-01 10:48:00,75.48,68.84,,35.39
2019-05-01 11:06:00,75.03,60.8,,35.63
2019-05-01 11:24:00,74.39,57.49,,35.85
2019-05-01 11:42:00,73.97,65.06,,36.08
2019-05-01 12:00:00,74.18,55.71,,36.02
2019-05-01 12:18:00,73.62,65.21,,35.78
2019-05-01 12:36:00,73.38,65.91,,35.77
2019-05-01 12:54:00,73.96,59.47,,35.64
2019-05-01 13:12:00,73.85,66.48,,35.73
2019-05-01 13:30:00,73.97,63.49,,36.27
2019-05-01 13:48:00,73.38,64.28,,36.85
2019-05-01 14:06:00,74.59,53.32,,36.77
2019-05-01 14:24:00,73.26,64.73,,36.49
2019-05-01 14:42:00,73.75,62.06,,36.43
2019-05-01 15:00:00,73.64,63.92,,36.18
2019-05-01 15:18:00,74.13,56.81,,36.04
2019-05-01 15:36:00,74.06,62.22,,35.77
2019-05-01 15:54:00,73.57,64.2,,35.5
2019-05-01 16:12:00,74.27,47.48,,35.33
2019-05-01 16:30:00,73.51,64.88,,35.17
2019-05-01 16:48:00,74.5,51.31,,34.83
2019-05-01 17:06:00,73.82,65.33,,34.72
2019-05-01 17:24:00,74.96,47.34,,34.59
2019-05-01 17:42:00,73.84,65.61,,34.53
2019-05-01 18:00:00,74.8,62.7,,34.42
2019-05-01 18:18:00,74.78,54.99,,34.23
2019-05-01 18:36:00,74.28,66.89,,34.0
2019-05-01 18:54:00,74.83,60.48,,33.86
2019-05-01 19:12:00,74.63,67.54,,33.7
2019-05-01 19:30:00,74.61,64.42,,33.44
2019-05-01 19:48:00,73.97,65.83,,33.26
2019-05-01 20:06:00,75.15,46.78,,33.07
2019-05-01 20:24:00,74.02,65.9,,32.95
2019-05-01 20:42:00,75.67,69.02,,32.9
2019-05-01 21:00:00,74.88,57.46,Off,32.86
2019-05-01 21:18:00,73.73,58.94,,32.82
2019-05-01 21:36:00,73.5,61.45,,32.82
2019-05-01 21:54:00,73.26,64.37,,32.96
2019-05-01 22:12:00,73.03,65.79,,32.92
2019-05-01 22:30:00,72.79,67.6,,33.13
2019-05-01 22:48:00,72.74,67.54,,32.72
2019-05-01 23:06:00,72.64,67.01,,32.63
2019-05-01 23:24:00,72.63,66.79,,32.63
2019-05-01 23:42:00,72.56,67.43,,32.57
2019-05-02 00:00:00,72.32,67.07,,32.56
2019-05-02 00:18:00,72.11,66.46,,32.6
2019-05-02 00:36:00,71.95,66.17,On,32.69
2019-05-02 00:54:00,72.72,69.19,Off,32.72
2019-05-02 01:12:00,73.09,83.19,,32.65
2019-05-02 01:30:00,72.78,84.74,,32.64
2019-05-02 01:48:00,72.32,78.84,On,32.71
2019-05-02 02:06:00,73.01,70.21,Off,32.78
2019-05-02 02:24:00,73.78,82.86,,32.82
2019-05-02 02:42:00,73.2,92.0,,32.85
2019-05-02 03:00:00,72.8,84.84,,32.87
2019-05-02 03:18:00,72.32,78.67,,32.87
2019-05-02 03:36:00,72.14,75.66,On,32.93
2019-05-02 03:54:00,72.33,69.8,,32.94
2019-05-02 04:12:00,74.15,71.14,,32.94
2019-05-02 04:30:00,75.69,71.82,,33.02
2019-05-02 04:48:00,76.55,68.22,,33.28
2019-05-02 05:06:00,75.48,61.58,,33.1
2019-05-02 05:24:00,75.15,45.94,,33.13
2019-05-02 05:42:00,74.28,64.9,,33.16
2019-05-02 06:00:00,74.61,63.61,,33.3
2019-05-02 06:18:00,73.96,65.23,,33.62
2019-05-02 06:36:00,74.61,50.19,,34.15
2019-05-02 06:54:00,73.92,66.14,,34.72
2019-05-02 07:12:00,74.55,54.56,,34.71
2019-05-02 07:30:00,73.91,65.94,,34.8
2019-05-02 07:48:00,74.11,53.74,,35.31
2019-05-02 08:06:00,73.59,64.85,,35.99
2019-05-02 08:24:00,73.37,65.61,,36.75
2019-05-02 08:42:00,73.87,51.83,,37.7
2019-05-02 09:00:00,73.21,66.57,,38.2
2019-05-02 09:18:00,73.25,65.43,,39.14
2019-05-02 09:36:00,73.6,53.47,,39.85
2019-05-02 09:54:00,73.13,65.62,,40.28
2019-05-02 10:12:00,73.4,62.94,,40.79
2019-05-02 10:30:00,73.3,57.04,,41.44
2019-05-02 10:48:00,73.38,62.45,,41.76
2019-05-02 11:06:00,73.62,58.27,,42.03
2019-05-02 11:24:00,73.09,65.08,,42.43
2019-05-02 11:42:00,73.62,60.27,,42.8
2019-05-02 12:00:00,73.79,66.43,,42.68
2019-05-02 12:18:00,73.73,62.96,,43.27
2019-05-02 12:36:00,73.62,64.36,,44.16
2019-05-02 12:54:00,73.61,66.32,,44.79
2019-05-02 13:12:00,73.73,64.55,,45.05
2019-05-02 13:30:00,73.93,65.08,,44.71
2019-05-02 13:48:00,74.43,60.24,,44.35
2019-05-02 14:06:00,74.02,66.48,,45.12
2019-05-02 14:24:00,73.73,65.59,,45.25
2019-05-02 14:42:00,74.13,57.85,,46.34
2019-05-02 15:00:00,74.13,63.93,,46.68
2019-05-02 15:18:00,73.97,66.89,,47.53
2019-05-02 15:36:00,74.14,65.44,,48.4
2019-05-02 15:54:00,74.45,65.07,,49.86
2019-05-02 16:12:00,73.96,65.94,,50.25
2019-05-02 16:30:00,74.06,64.21,,50.85
2019-05-02 16:48:00,73.88,66.15,,51.1
2019-05-02 17:06:00,73.77,66.32,,52.35
2019-05-02 17:24:00,74.28,62.4,,52.48
2019-05-02 17:42:00,73.84,66.3,,52.77
2019-05-02 18:00:00,74.13,61.81,,50.83
2019-05-02 18:18:00,73.92,65.37,,49.78
2019-05-02 18:36:00,73.9,65.26,,50.46
2019-05-02 18:54:00,74.28,62.62,,53.23
2019-05-02 19:12:00,73.84,65.88,,53.09
2019-05-02 19:30:00,74.3,64.49,,51.37
2019-05-02 19:48:00,74.13,65.74,,50.04
2019-05-02 20:06:00,75.19,56.65,,49.11
2019-05-02 20:24:00,74.15,65.66,,48.33
2019-05-02 20:42:00,74.79,62.6,,47.01
2019-05-02 21:00:00,74.17,66.93,Off,45.89
2019-05-02 21:18:00,73.98,76.28,,44.97
2019-05-02 21:36:00,73.62,75.48,,44.2
2019-05-02 21:54:00,73.44,73.96,,43.12
2019-05-02 22:12:00,73.2,72.86,,42.41
2019-05-02 22:30:00,72.98,71.43,,42.21
2019-05-02 22:48:00,72.72,70.55,,41.71
2019-05-02 23:06:00,72.73,70.58,,40.96
2019-05-02 23:24:00,72.69,70.02,,40.05
2019-05-02 23:42:00,72.44,69.9,,39.3
2019-05-03 00:00:00,72.25,69.57,,38.79
2019-05-03 00:18:00,72.09,69.12,,37.91
2019-05-03 00:36:00,71.82,68.6,,36.87
2019-05-03 00:54:00,72.07,67.36,On,36.13
2019-05-03 01:12:00,72.03,69.19,,35.7
2019-05-03 01:30:00,74.03,79.43,Off,35.28
2019-05-03 01:48:00,73.73,87.13,,34.73
2019-05-03 02:06:00,73.69,83.2,,34.49
2019-05-03 02:24:00,72.98,79.67,,34.26
2019-05-03 02:42:00,72.36,77.05,,33.82
2019-05-03 03:00:00,72.01,73.98,,33.68
