Date,RAT,MAT,SFS,OAT
2019-05-01 00:54:00,71.86,67.96,On,34.54
2019-05-01 03:00:00,71.83,71.17,On,33.56
2019-05-01 03:54:00,72.88,89.74,On,33.18
2019-05-01 04:12:00,73.96,70.96,On,33.28
2019-05-01 04:30:00,75.71,71.67,On,33.25
2019-05-01 04:48:00,76.64,66.26,On,33.1
2019-05-01 05:06:00,75.66,62.12,On,33.06
2019-05-01 05:24:00,75.37,65.06,On,32.97
2019-05-01 05:42:00,74.71,65.24,On,32.91
2019-05-01 06:00:00,74.83,55.74,On,32.94
2019-05-01 06:18:00,74.13,66.32,On,32.98
2019-05-01 06:36:00,75.51,68.98,On,33.04
2019-05-01 06:54:00,76.0,51.36,On,33.31
2019-05-01 07:12:00,74.61,65.61,On,33.5
2019-05-01 07:30:00,74.86,64.39,On,33.68
2019-05-01 07:48:00,74.22,65.42,On,33.85
2019-05-01 08:06:00,74.61,59.79,On,33.88
2019-05-01 08:24:00,74.32,64.49,On,34.02
2019-05-01 08:42:00,73.91,64.71,On,34.22
2019-05-01 09:00:00,73.94,63.55,On,34.14
2019-05-01 09:18:00,74.03,67.74,On,34.15
2019-05-01 09:36:00,74.43,61.29,On,34.38
2019-05-01 09:54:00,74.13,55.24,On,34.68
2019-05-01 10:12:00,73.44,65.31,On,34.91
2019-05-01 10:30:00,74.16,60.65,On,35.19
2019-05-01 10:48:00,75.48,68.84,On,35.39
2019-05-01 11:06:00,75.03,60.8,On,35.63
2019-05-01 11:24:00,74.39,57.49,On,35.85
2019-05-01 11:42:00,73.97,65.06,On,36.08
2019-05-01 12:00:00,74.18,55.71,On,36.02
2019-05-01 12:18:00,73.62,65.21,On,35.78
2019-05-01 12:36:00,73.38,65.91,On,35.77
2019-05-01 12:54:00,73.96,59.47,On,35.64
2019-05-01 13:12:00,73.85,66.48,On,35.73
2019-05-01 13:30:00,73.97,63.49,On,36.27
2019-05-01 13:48:00,73.38,64.28,On,36.85
2019-05-01 14:06:00,74.59,53.32,On,36.77
2019-05-01 14:24:00,73.26,64.73,On,36.49
2019-05-01 14:42:00,73.75,62.06,On,36.43
2019-05-01 15:00:00,73.64,63.92,On,36.18
2019-05-01 15:18:00,74.13,56.81,On,36.04
2019-05-01 15:36:00,74.06,62.22,On,35.77
2019-05-01 15:54:00,73.57,64.2,On,35.5
2019-05-01 16:12:00,74.27,47.48,On,35.33
2019-05-01 16:30:00,73.51,64.88,On,35.17
2019-05-01 16:48:00,74.5,51.31,On,34.83
2019-05-01 17:06:00,73.82,65.33,On,34.72
2019-05-01 17:24:00,74.96,47.34,On,34.59
2019-05-01 17:42:00,73.84,65.61,On,34.53
2019-05-01 18:00:00,74.8,62.7,On,34.42
2019-05-01 18:18:00,74.78,54.99,On,34.23
2019-05-01 18:36:00,74.28,66.89,On,34.0
2019-05-01 18:54:00,74.83,60.48,On,33.86
2019-05-01 19:12:00,74.63,67.54,On,33.7
2019-05-01 19:30:00,74.61,64.42,On,33.44
2019-05-01 19:48:00,73.97,65.83,On,33.26
2019-05-01 20:06:00,75.15,46.78,On,33.07
2019-05-01 20:24:00,74.02,65.9,On,32.95
2019-05-01 20:42:00,75.67,69.02,On,32.9
2019-05-02 00:36:00,71.95,66.17,On,32.69
2019-05-02 01:48:00,72.32,78.84,On,32.71
2019-05-02 03:36:00,72.14,75.66,On,32.93
2019-05-02 03:54:00,72.33,69.8,On,32.94
2019-05-02 04:12:00,74.15,71.14,On,32.94
2019-05-02 04:30:00,75.69,71.82,On,33.02
2019-05-02 04:48:00,76.55,68.22,On,33.28
2019-05-02 05:06:00,75.48,61.58,On,33.1
2019-05-02 05:24:00,75.15,45.94,On,33.13
2019-05-02 05:42:00,74.28,64.9,On,33.16
2019-05-02 06:00:00,74.61,63.61,On,33.3
2019-05-02 06:18:00,73.96,65.23,On,33.62
2019-05-02 06:36:00,74.61,50.19,On,34.15
2019-05-02 06:54:00,73.92,66.14,On,34.72
2019-05-02 07:12:00,74.55,54.56,On,34.71
2019-05-02 07:30:00,73.91,65.94,On,34.8
2019-05-02 07:48:00,74.11,53.74,On,35.31
2019-05-02 08:06:00,73.59,64.85,On,35.99
2019-05-02 08:24:00,73.37,65.61,On,36.75
2019-05-02 08:42:00,73.87,51.83,On,37.7
2019-05-02 09:00:00,73.21,66.57,On,38.2
2019-05-02 09:18:00,73.25,65.43,On,39.14
2019-05-02 09:36:00,73.6,53.47,On,39.85
2019-05-02 09:54:00,73.13,65.62,On,40.28
2019-05-02 10:12:00,73.4,62.94,On,40.79
2019-05-02 10:30:00,73.3,57.04,On,41.44
2019-05-02 10:48:00,73.38,62.45,On,41.76
2019-05-02 11:06:00,73.62,58.27,On,42.03
2019-05-02 11:24:00,73.09,65.08,On,42.43
2019-05-02 11:42:00,73.62,60.27,On,42.8
2019-05-02 12:00:00,73.79,66.43,On,42.68
2019-05-02 12:18:00,73.73,62.96,On,43.27
2019-05-02 12:36:00,73.62,64.36,On,44.16
2019-05-02 12:54:00,73.61,66.32,On,44.79
2019-05-02 13:12:00,73.73,64.55,On,45.05
2019-05-02 13:30:00,73.93,65.08,On,44.71
2019-05-02 13:48:00,74.43,60.24,On,44.35
2019-05-02 14:06:00,74.02,66.48,On,45.12
2019-05-02 14:24:00,73.73,65.59,On,45.25
2019-05-02 14:42:00,74.13,57.85,On,46.34
2019-05-02 15:00:00,74.13,63.93,On,46.68
2019-05-02 15:18:00,73.97,66.89,On,47.53
2019-05-02 15:36:00,74.14,65.44,On,48.4
2019-05-02 15:54:00,74.45,65.07,On,49.86
2019-05-02 16:12:00,73.96,65.94,On,50.25
2019-05-02 16:30:00,74.06,64.21,On,50.85
2019-05-02 16:48:00,73.88,66.15,On,51.1
2019-05-02 17:06:00,73.77,66.32,On,52.35
2019-05-02 17:24:00,74.28,62.4,On,52.48
2019-05-02 17:42:00,73.84,66.3,On,52.77
2019-05-02 18:00:00,74.13,61.81,On,50.83
2019-05-02 18:18:00,73.92,65.37,On,49.78
2019-05-02 18:36:00,73.9,65.26,On,50.46
2019-05-02 18:54:00,74.28,62.62,On,53.23
2019-05-02 19:12:00,73.84,65.88,On,53.09
2019-05-02 19:30:00,74.3,64.49,On,51.37
2019-05-02 19:48:00,74.13,65.74,On,50.04
2019-05-02 20:06:00,75.19,56.65,On,49.11
2019-05-02 20:24:00,74.15,65.66,On,48.33
2019-05-02 20:42:00,74.79,62.6,On,47.01
2019-05-03 00:54:00,72.07,67.36,On,36.13
2019-05-03 01:12:00,72.03,69.19,On,35.7
2019-05-03 03:18:00,71.67,71.61,On,33.75
2019-05-03 03:36:00,73.19,70.43,On,33.07
2019-05-03 03:54:00,73.96,77.3,On,32.74
2019-05-03 04:30:00,74.31,76.4,On,31.75
2019-05-03 04:48:00,75.89,70.26,On,31.55
2019-05-03 05:06:00,76.7,65.77,On,31.28
2019-05-03 05:24:00,75.66,62.86,On,30.92
2019-05-03 05:42:00,75.14,53.86,On,30.69
2019-05-03 06:00:00,74.6,66.08,On,30.81
2019-05-03 06:18:00,75.46,68.84,On,32.7
2019-05-03 06:36:00,76.79,67.94,On,38.57
2019-05-03 06:54:00,75.85,60.34,On,44.23
2019-05-03 07:12:00,75.27,63.64,On,47.96
2019-05-03 07:30:00,74.53,61.22,On,50.96
2019-05-03 07:48:00,74.54,62.99,On,53.45
2019-05-03 08:06:00,73.98,64.9,On,53.59
2019-05-03 08:24:00,74.14,60.55,On,48.35
2019-05-03 08:42:00,73.96,65.09,On,46.58
2019-05-03 09:00:00,73.52,65.97,On,46.9
2019-05-03 09:18:00,74.13,59.51,On,47.72
2019-05-03 09:36:00,73.44,66.15,On,48.43
