Date,RAT,MAT,OAT,SFS
2019-05-23 15:35:00,74.13,68.25,57.54,On
2019-05-23 15:40:00,74.13,68.25,58.02,On
2019-05-23 15:45:00,74.13,68.25,58.1,On
2019-05-23 15:45:00,74.13,68.25,58.1,On
2019-05-23 15:45:00,74.13,68.25,58.1,On
2019-05-23 15:50:00,74.13,68.25,58.24,On
2019-05-23 15:55:00,74.13,68.25,58.56,On
2019-05-23 16:00:00,74.13,68.25,58.6,On
2019-05-23 16:00:00,74.13,68.24,58.6,On
2019-05-23 16:00:00,73.69,68.24,58.6,On
2019-05-23 16:05:00,73.69,68.24,58.46,On
2019-05-23 16:10:00,73.69,68.24,58.82,On
2019-05-23 16:15:00,73.69,68.24,58.76,On
2019-05-23 16:15:00,73.69,68.31,58.76,On
2019-05-23 16:15:00,73.62,68.31,58.76,On
2019-05-23 16:20:00,73.62,68.31,58.81,On
2019-05-23 16:25:00,73.62,68.31,58.81,On
2019-05-23 16:30:00,73.62,68.31,59.0,On
2019-05-23 16:30:00,73.62,68.48,59.0,On
2019-05-23 16:30:00,73.49,68.48,59.0,On
2019-05-23 16:35:00,73.49,68.48,59.04,On
2019-05-23 16:40:00,73.49,68.48,59.28,On
2019-05-23 16:45:00,73.49,68.48,59.08,On
2019-05-23 16:45:00,73.49,68.78,59.08,On
2019-05-23 16:45:00,73.37,68.78,59.08,On
2019-05-23 16:50:00,73.37,68.78,58.97,On
2019-05-23 16:55:00,73.37,68.78,58.8,On
2019-05-23 17:00:00,73.37,68.78,58.78,On
2019-05-23 17:00:00,73.37,69.02,58.78,On
2019-05-23 17:00:00,73.24,69.02,58.78,On
2019-05-23 17:05:00,73.24,69.02,58.89,On
2019-05-23 17:10:00,73.24,69.02,58.98,On
2019-05-23 17:15:00,73.24,69.02,59.18,On
2019-05-23 17:15:00,73.24,69.7,59.18,On
2019-05-23 17:15:00,73.2,69.7,59.18,On
2019-05-23 17:20:00,73.2,69.7,59.27,On
2019-05-23 17:25:00,73.2,69.7,59.48,On
2019-05-23 17:30:00,73.2,69.7,59.33,On
2019-05-23 17:30:00,73.2,69.94,59.33,On
2019-05-23 17:30:00,73.2,69.94,59.33,On
2019-05-23 17:35:00,73.2,69.94,59.32,On
2019-05-23 17:40:00,73.2,69.94,59.18,On
2019-05-23 17:45:00,73.2,69.94,59.12,On
2019-05-23 17:45:00,73.2,69.84,59.12,On
2019-05-23 17:45:00,73.11,69.84,59.12,On
2019-05-23 17:50:00,73.11,69.84,58.63,On
2019-05-23 17:55:00,73.11,69.84,58.13,On
2019-05-23 18:00:00,73.11,69.84,57.95,On
2019-05-23 18:00:00,73.11,70.2,57.95,On
2019-05-23 18:00:00,73.03,70.2,57.95,On
2019-05-23 18:05:00,73.03,70.2,58.04,On
2019-05-23 18:10:00,73.03,70.2,57.87,On
2019-05-23 18:15:00,73.03,70.2,57.72,On
2019-05-23 18:15:00,73.03,70.02,57.72,On
2019-05-23 18:15:00,73.02,70.02,57.72,On
2019-05-23 18:20:00,73.02,70.02,57.38,On
2019-05-23 18:25:00,73.02,70.02,57.02,On
2019-05-23 18:30:00,73.02,70.02,57.07,On
2019-05-23 18:30:00,73.02,69.83,57.07,On
2019-05-23 18:30:00,73.02,69.83,57.07,On
2019-05-23 18:35:00,73.02,69.83,57.07,On
2019-05-23 18:40:00,73.02,69.83,57.11,On
2019-05-23 18:45:00,73.02,69.83,57.14,On
2019-05-23 18:45:00,73.02,69.8,57.14,On
2019-05-23 18:45:00,72.85,69.8,57.14,On
2019-05-23 18:50:00,72.85,69.8,57.2,On
2019-05-23 18:55:00,72.85,69.8,57.28,On
2019-05-23 19:00:00,72.85,69.8,57.32,On
2019-05-23 19:00:00,72.85,70.61,57.32,On
2019-05-23 19:00:00,72.84,70.61,57.32,On
2019-05-23 19:05:00,72.84,70.61,57.35,On
2019-05-23 19:10:00,72.84,70.61,57.27,On
2019-05-23 19:15:00,72.84,70.61,57.26,On
2019-05-23 19:15:00,72.84,70.61,57.26,On
2019-05-23 19:15:00,72.67,70.61,57.26,On
2019-05-23 19:20:00,72.67,70.61,57.0,On
2019-05-23 19:25:00,72.67,70.61,56.74,On
2019-05-23 19:30:00,72.67,70.61,56.66,On
2019-05-23 19:30:00,72.67,70.55,56.66,On
2019-05-23 19:30:00,72.56,70.55,56.66,On
2019-05-23 19:35:00,72.56,70.55,56.45,On
2019-05-23 19:40:00,72.56,70.55,55.97,On
2019-05-23 19:45:00,72.56,70.55,55.82,On
2019-05-23 19:45:00,72.56,70.02,55.82,On
2019-05-23 19:45:00,72.56,70.02,55.82,On
2019-05-23 19:50:00,72.56,70.02,55.76,On
2019-05-23 19:55:00,72.56,70.02,55.58,On
2019-05-23 20:00:00,72.56,70.02,55.34,On
2019-05-23 20:00:00,72.56,70.01,55.34,On
2019-05-23 20:00:00,72.52,70.01,55.34,On
2019-05-23 20:05:00,72.52,70.01,55.18,On
2019-05-23 20:10:00,72.52,70.01,55.0,On
2019-05-23 20:15:00,72.52,70.01,54.89,On
2019-05-23 20:15:00,72.52,69.92,54.89,On
2019-05-23 20:15:00,72.5,69.92,54.89,On
2019-05-23 20:20:00,72.5,69.92,54.79,On
2019-05-23 20:25:00,72.5,69.92,54.72,On
2019-05-23 20:30:00,72.5,69.92,54.61,On
2019-05-23 20:30:00,72.5,69.84,54.61,On
2019-05-23 20:30:00,72.39,69.84,54.61,On
2019-05-23 20:35:00,72.39,69.84,54.48,On
2019-05-23 20:40:00,72.39,69.84,54.38,On
2019-05-23 20:45:00,72.39,69.84,54.59,On
2019-05-23 20:45:00,72.39,69.83,54.59,On
2019-05-23 20:45:00,72.29,69.83,54.59,On
2019-05-23 20:50:00,72.29,69.83,54.3,On
2019-05-23 20:55:00,72.29,69.83,54.51,On
2019-05-23 21:00:00,72.29,69.83,54.27,On
2019-05-23 21:00:00,72.29,69.66,54.27,On
2019-05-23 21:00:00,72.18,69.66,54.27,On
2019-05-23 22:31:00,72.03,68.97,53.58,On
2019-05-23 22:35:00,72.03,68.97,53.29,On
2019-05-23 22:40:00,72.03,68.97,53.08,On
2019-05-23 22:45:00,72.03,68.97,52.83,On
2019-05-23 22:45:00,72.03,70.44,52.83,On
2019-05-23 22:45:00,71.96,70.44,52.83,On
2019-05-23 22:50:00,71.96,70.44,52.69,On
2019-05-23 22:55:00,71.96,70.44,52.68,On
2019-05-23 23:00:00,71.96,70.44,52.63,On
2019-05-23 23:00:00,71.96,70.43,52.63,On
