Date,RAT,MAT,OAT,SFS
2019-05-23 15:35:00,,,57.54,On
2019-05-23 15:40:00,,,58.02,
2019-05-23 15:45:00,,,58.1,
2019-05-23 15:45:00,,68.25,,
2019-05-23 15:45:00,74.13,,,
2019-05-23 15:50:00,,,58.24,
2019-05-23 15:55:00,,,58.56,
2019-05-23 16:00:00,,,58.6,
2019-05-23 16:00:00,,68.24,,
2019-05-23 16:00:00,73.69,,,
2019-05-23 16:05:00,,,58.46,
2019-05-23 16:10:00,,,58.82,
2019-05-23 16:15:00,,,58.76,
2019-05-23 16:15:00,,68.31,,
2019-05-23 16:15:00,73.62,,,
2019-05-23 16:20:00,,,58.81,
2019-05-23 16:25:00,,,58.81,
2019-05-23 16:30:00,,,59.0,
2019-05-23 16:30:00,,68.48,,
2019-05-23 16:30:00,73.49,,,
2019-05-23 16:35:00,,,59.04,
2019-05-23 16:40:00,,,59.28,
2019-05-23 16:45:00,,,59.08,
2019-05-23 16:45:00,,68.78,,
2019-05-23 16:45:00,73.37,,,
2019-05-23 16:50:00,,,58.97,
2019-05-23 16:55:00,,,58.8,
2019-05-23 17:00:00,,,58.78,
2019-05-23 17:00:00,,69.02,,
2019-05-23 17:00:00,73.24,,,
2019-05-23 17:05:00,,,58.89,
2019-05-23 17:10:00,,,58.98,
2019-05-23 17:15:00,,,59.18,
2019-05-23 17:15:00,,69.7,,
2019-05-23 17:15:00,73.2,,,
2019-05-23 17:20:00,,,59.27,
2019-05-23 17:25:00,,,59.48,
2019-05-23 17:30:00,,,59.33,
2019-05-23 17:30:00,,69.94,,
2019-05-23 17:30:00,73.2,,,
2019-05-23 17:35:00,,,59.32,
2019-05-23 17:40:00,,,59.18,
2019-05-23 17:45:00,,,59.12,
2019-05-23 17:45:00,,69.84,,
2019-05-23 17:45:00,73.11,,,
2019-05-23 17:50:00,,,58.63,
2019-05-23 17:55:00,,,58.13,
2019-05-23 18:00:00,,,57.95,
2019-05-23 18:00:00,,70.2,,
2019-05-23 18:00:00,73.03,,,
2019-05-23 18:05:00,,,58.04,
2019-05-23 18:10:00,,,57.87,
2019-05-23 18:15:00,,,57.72,
2019-05-23 18:15:00,,70.02,,
2019-05-23 18:15:00,73.02,,,
2019-05-23 18:20:00,,,57.38,
2019-05-23 18:25:00,,,57.02,
2019-05-23 18:30:00,,,57.07,
2019-05-23 18:30:00,,69.83,,
2019-05-23 18:30:00,73.02,,,
2019-05-23 18:35:00,,,57.07,
2019-05-23 18:40:00,,,57.11,
2019-05-23 18:45:00,,,57.14,
2019-05-23 18:45:00,,69.8,,
2019-05-23 18:45:00,72.85,,,
2019-05-23 18:50:00,,,57.2,
2019-05-23 18:55:00,,,57.28,
2019-05-23 19:00:00,,,57.32,
2019-05-23 19:00:00,,70.61,,
2019-05-23 19:00:00,72.84,,,
2019-05-23 19:05:00,,,57.35,
2019-05-23 19:10:00,,,57.27,
2019-05-23 19:15:00,,,57.26,
2019-05-23 19:15:00,,70.61,,
2019-05-23 19:15:00,72.67,,,
2019-05-23 19:20:00,,,57.0,
2019-05-23 19:25:00,,,56.74,
2019-05-23 19:30:00,,,56.66,
2019-05-23 19:30:00,,70.55,,
2019-05-23 19:30:00,72.56,,,
2019-05-23 19:35:00,,,56.45,
2019-05-23 19:40:00,,,55.97,
2019-05-23 19:45:00,,,55.82,
2019-05-23 19:45:00,,70.02,,
2019-05-23 19:45:00,72.56,,,
2019-05-23 19:50:00,,,55.76,
2019-05-23 19:55:00,,,55.58,
2019-05-23 20:00:00,,,55.34,
2019-05-23 20:00:00,,70.01,,
2019-05-23 20:00:00,72.52,,,
2019-05-23 20:05:00,,,55.18,
2019-05-23 20:10:00,,,55.0,
2019-05-23 20:15:00,,,54.89,
2019-05-23 20:15:00,,69.92,,
2019-05-23 20:15:00,72.5,,,
2019-05-23 20:20:00,,,54.79,
2019-05-23 20:25:00,,,54.72,
2019-05-23 20:30:00,,,54.61,
2019-05-23 20:30:00,,69.84,,
2019-05-23 20:30:00,72.39,,,
2019-05-23 20:35:00,,,54.48,
2019-05-23 20:40:00,,,54.38,
2019-05-23 20:45:00,,,54.59,
2019-05-23 20:45:00,,69.83,,
2019-05-23 20:45:00,72.29,,,
2019-05-23 20:50:00,,,54.3,
2019-05-23 20:55:00,,,54.51,
2019-05-23 21:00:00,,,54.27,
2019-05-23 21:00:00,,69.66,,
2019-05-23 21:00:00,72.18,,,
2019-05-23 21:00:00,,,,Off
2019-05-23 21:05:00,,,54.71,
2019-05-23 21:10:00,,,55.68,
2019-05-23 21:15:00,,,56.96,
2019-05-23 21:15:00,,70.43,,
2019-05-23 21:15:00,71.98,,,
2019-05-23 21:20:00,,,57.45,
2019-05-23 21:25:00,,,57.1,
2019-05-23 21:30:00,,,57.58,
2019-05-23 21:30:00,,70.41,,
2019-05-23 21:30:00,71.96,,,
2019-05-23 21:35:00,,,57.27,
2019-05-23 21:40:00,,,57.04,
2019-05-23 21:45:00,,,56.47,
2019-05-23 21:45:00,,70.2,,
2019-05-23 21:45:00,71.89,,,
2019-05-23 21:50:00,,,55.82,
2019-05-23 21:55:00,,,55.76,
2019-05-23 22:00:00,,,55.77,
2019-05-23 22:00:00,,70.02,,
2019-05-23 22:00:00,71.85,,,
2019-05-23 22:05:00,,,56.12,
2019-05-23 22:10:00,,,56.1,
2019-05-23 22:15:00,,,55.16,
2019-05-23 22:15:00,,69.66,,
2019-05-23 22:15:00,72.03,,,
2019-05-23 22:20:00,,,54.42,
2019-05-23 22:25:00,,,53.96,
